,metascore,name,userscore,name_new
107,88,Guacamelee! Super Turbo Championship Edition,7.0,guacamelee superturbochampionshipedition
108,88,Hearthstone: Heroes of Warcraft,6.1,hearthstone heroesofwarcraft
109,87,Guacamelee! Super Turbo Championship Edition,7.7,guacamelee superturbochampionshipedition
110,87,Middle-earth: Shadow of Mordor,8.0,middle earth shadowofmordor
111,87,Steins Gate,8.8,steinsgate
112,87,The Walking Dead: Season Two Episode 5 - No Going Back,8.1,thewalkingdead seasontwoepisode5 nogoingback
113,87,Year Walk,7.0,yearwalk
114,85,Terraria,8.0,terraria
115,85,DmC: Devil May Cry,5.4,dmc devilmaycry
116,85,"Papers, Please",8.5,papers please
117,84,Mass Effect 3: Citadel,8.2,masseffect3 citadel
118,84,Guacamelee!,7.7,guacamelee 
119,84,NBA 2K14,5.0,nba2k14
120,84,Mass Effect 3: Citadel,7.9,masseffect3 citadel
121,84,Assassin's Creed IV: Black Flag,7.7,assassin screediv blackflag
122,84,Lone Survivor: The Director's Cut,7.8,lonesurvivor thedirector scut
123,87,Mario Kart 8 DLC Pack 1,9.0,mariokart8dlcpack1
124,87,TowerFall Ascension,6.7,towerfallascension
125,87,TowerFall Ascension,7.0,towerfallascension
126,87,Diablo III: Reaper of Souls,6.6,diabloiii reaperofsouls
127,87,Divinity: Original Sin,8.7,divinity originalsin
128,87,Dark Souls II: Crown of the Ivory King,8.3,darksoulsii crownoftheivoryking
129,87,World of Warcraft: Warlords of Draenor,5.9,worldofwarcraft warlordsofdraenor
130,86,Astebreed,7.3,astebreed
131,86,Velocity 2X,6.9,velocity2x
132,86,Final Fantasy X / X-2 HD Remaster,8.9,finalfantasyx x 2hdremaster
133,86,Titanfall,6.7,titanfall
134,84,Etrian Odyssey IV: Legends of the Titan,8.3,etrianodysseyiv legendsofthetitan
135,84,Resogun,7.8,resogun
136,84,Mutant Mudds Deluxe,7.3,mutantmuddsdeluxe
137,84,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,8.1,bit trippresents   runner2 futurelegendofrhythmalien
138,84,FIFA 14,4.2,fifa14
139,84,PixelJunk Monsters: Ultimate HD,7.6,pixeljunkmonsters ultimatehd
140,84,Tom Clancy's Splinter Cell: Blacklist,7.7,tomclancy ssplintercell blacklist
141,86,The Binding of Isaac: Rebirth,8.4,thebindingofisaac rebirth
142,86,Titanfall,6.2,titanfall
143,86,Diablo III: Ultimate Evil Edition,7.8,diabloiii ultimateeviledition
144,86,Tomb Raider: Definitive Edition,7.7,tombraider definitiveedition
145,86,Forza Horizon 2,8.3,forzahorizon2
146,86,Bayonetta,8.8,bayonetta
147,86,Final Fantasy XIV Online: A Realm Reborn,7.2,finalfantasyxivonline arealmreborn
148,86,Resogun: Heroes,7.3,resogun heroes
149,85,The Talos Principle,8.5,thetalosprinciple
150,85,Legend of Grimrock II,8.1,legendofgrimrockii
151,85,Dragon Age: Inquisition,5.9,dragonage inquisition
152,85,Bravely Default,8.4,bravelydefault
153,85,Rogue Legacy,7.8,roguelegacy
154,85,South Park: The Stick of Truth,8.6,southpark thestickoftruth
155,85,Dragon Age: Inquisition,7.0,dragonage inquisition
156,85,Super Smash Bros. for Nintendo 3DS,8.6,supersmashbros fornintendo3ds
157,85,Shovel Knight,8.0,shovelknight
158,85,Final Fantasy X / X-2 HD Remaster,8.7,finalfantasyx x 2hdremaster
159,85,Assetto Corsa,8.4,assettocorsa
160,85,Valkyria Chronicles,8.2,valkyriachronicles
161,85,BattleBlock Theater,7.9,battleblocktheater
162,85,Halo: The Master Chief Collection,7.4,halo themasterchiefcollection
